Nazwa firmy,Tytuł oferty,Kategoria,Poziom doświadczenia,Umiejętności,Mile widziane umiejętności,Czas pracy,Typ miejsca pracy,Typ umowy,Widełki finansowe [PLN],Wynagrodzenie brutto,Województwo,Miasto,Ulica,Otwarte dla obywateli Ukrainy,Zdalna rozmowa kwalifikacyjna,Data publikacji oferty
Crestt,"Fullstack/Web Developer (Angular, zdalnie)",7,mid,"ASP.NET, ASP.NET Core, Angular, Microservices, Solid, Testing",,full_time,remote,B2B,16000.0-19000.0,False,mazowieckie,Warszawa,Centrum,False,True,2025-02-27 12:00:46.213000+00:00
Crestt,L1/L2 Support,21,mid,"LAN, Mac OS, Windows",,full_time,office,B2B,8000.0-9000.0,False,dolnośląskie,Środa Śląska,Centrum,False,True,2025-02-27 12:00:46.213000+00:00
Deviniti,Senior Atlassian Consultant,13,senior,"Atlassian, B2B clients, English, Jira, MS Azure, MS Sharepoint, Polish, SAP, ServiceNow",,full_time,remote,B2B,16800.0-23500.0,False,dolnośląskie,Wrocław,Sudecka 153,False,True,2025-02-27 12:00:46.213000+00:00
Jit Team,Senior Machine Learning Engineer,25,senior,"AWS, Apache Spark, Docker, Kubernetes, Machine Learning, Python, SQL",,full_time,remote,B2B,19000.0-26000.0,False,pomorskie,Gdańsk,,False,False,2025-02-27 12:00:46.213000+00:00
Commerce Media Tech,Engineering Manager,6,senior,"Amazon AWS, Java, Product Management, Software Architecture",,full_time,remote,B2B,32000.0-36000.0,False,małopolskie,Kraków,Lubicz 17G,False,True,2025-02-27 12:00:46.213000+00:00
BRAVER IT SPÓŁKA AKCYJNA,Site Reliability Engineer,12,senior,"AWS, Azure, English, Kafka, Kubernetes, PostgreSQL, Terraform",,full_time,remote,B2B,32000.0-49000.0,False,małopolskie,Kraków,Armii Krajowej,False,True,2025-02-27 12:00:46.213000+00:00
DataFeedWatch,AI/ML Engineer,25,senior,"AI, CI/CD, Celery, Docker, Flask, Machine Learning, NoSQL, RabbitMQ, SQL, Terraform",,full_time,remote,Any,30000.0-35000.0,False,małopolskie,Kraków,Przemysłowa 12,False,True,2025-02-27 12:00:46.213000+00:00
CRODU,Senior ML Engineer (with DataBricks),19,senior,"AWS, Apache Spark, Databricks, MLOps, MLflow, Python",,full_time,remote,B2B,25200.0-31920.0,False,małopolskie,Kraków,Szlak 77,False,True,2025-02-27 12:00:46.213000+00:00
SmartHotel,QA Specialist,11,mid,"AI, Automated Testing, DevOps, Git, Google Cloud Platform, Manual Testing, Microservices, NoSQL, QA, SQL",,full_time,remote,B2B,6000.0-14000.0,False,mazowieckie,Warszawa,,False,True,2025-02-27 12:00:46.213000+00:00
Pretius,AWS Specialist with AI,25,senior,"AI/ML, AWS, Bedrock, Cloud, EC2, English, OpenSearch, Textract, s3",,full_time,remote,B2B,26880.0-33600.0,False,mazowieckie,Warszawa,Żwirki i Wigury 16A,False,True,2025-02-27 12:00:46.213000+00:00
Pretius,AI Python Senior Engineer,25,senior,".Net, AI/ML, AWS, Azure, C#, DevOps, English, GCP, Kubernetes, Python",,full_time,remote,B2B,26880.0-33600.0,False,mazowieckie,Warszawa,Żwirki i Wigury 16A,False,True,2025-02-27 12:00:46.213000+00:00
7N,Senior Fullstack Developer,5,senior,"Amazon AWS, JavaScript, Python, TypeScript",,full_time,remote,B2B,26880.0-33600.0,False,mazowieckie,Warszawa,Puławska 182,False,True,2025-02-27 12:00:46.213000+00:00
Antal Sp. z o.o.,Learning & Development Content Developer,21,mid,"Articulate, English, LMS, powerPoint",,full_time,hybrid,Permanent,9000.0-10000.0,True,dolnośląskie,Wrocław,,False,False,2025-02-27 12:00:46.213000+00:00
SmartHotel,Angular Frontend Developer,1,mid,"AI, Angular, CSS, Cypress, HTML5, Playwright, RxJS, SCSS, TypeScript, WebSocket",,full_time,remote,B2B,8000.0-14000.0,False,mazowieckie,Warszawa,,False,True,2025-02-27 12:00:46.213000+00:00
Xebia sp. z o.o.,👉 Data/ML Platform Engineer,19,senior,"AWS, Airflow, Apache Spark, Databricks, Python, SQL",,full_time,remote,B2B,24000.0-32000.0,False,dolnośląskie,Wrocław,Sucha 3,False,True,2025-02-27 12:00:46.213000+00:00
Fujitsu Technology Solutions Sp. z o.o.,Lead Java Software Developer,6,senior,"Apache, Avro, Camel, Cloud, REST API, Spring Boot",,full_time,remote,B2B,18000.0-23700.0,False,łódzkie,Łódź,Milionowa,False,True,2025-02-27 12:00:46.213000+00:00
E NET PRODUCTION,SysOps (Kubernetes),13,mid,"Docker, Git, Kubernetes, Linux",,full_time,remote,B2B,15000.0-18000.0,False,śląskie,Katowice,Bracka 28a,False,True,2025-02-27 12:00:46.213000+00:00
DCG,Data/ML Platform Engineer,19,senior,"Databricks, ML models and frameworks, Parquet, Delta Lake and other data file formats, Python, Spark, AWS",,full_time,remote,B2B,25200.0-26880.0,False,mazowieckie,Warszawa,,False,False,2025-02-27 12:00:46.213000+00:00
ITDS,Engagement Manager,24,senior,"Adobe Creative Suite, Microsoft 365 Apps",,full_time,hybrid,B2B,15120.0-21840.0,False,małopolskie,Kraków,,True,True,2025-02-27 12:00:46.213000+00:00
Comernal Software Sp. z o.o.,Product Owner,15,mid,"3D CAD, 3D Digital Tools, 3D Scanners, Agile, Communication Skills, English, LIDAR, Product backlog, Scrum, UX/UI",,full_time,hybrid,Permanent,18000.0-27000.0,True,śląskie,Katowice,Żeliwna 38,False,True,2025-02-27 12:00:46.213000+00:00
FINANTEQ,Backend Engineer (Python),5,mid,"AWS, Docker, Kubernetes, Python, Terraform",,full_time,remote,B2B,16000.0-21000.0,False,lubelskie,Lublin,Nałęczowska 16,False,True,2025-02-27 12:00:46.213000+00:00
Affirm,Analytics Engineer,17,mid,"NumPy, Pandas, Python, SQL",,full_time,remote,Permanent,18300.0-26600.0,True,mazowieckie,Warszawa,Koszykowa 61,True,True,2025-02-27 12:00:46.213000+00:00
Antal Sp. z o.o.,Head of Cryptographic Key Management,18,senior,Cybersecurity,,full_time,hybrid,Permanent,25000.0-35000.0,True,małopolskie,Kraków,Wielicka 30,False,False,2025-02-27 12:00:46.213000+00:00
HSBC Service Delivery,Senior React and Scala/JAVA Developer (Investment Banking Tech),6,senior,"Java, React, Scala",,full_time,hybrid,Permanent,22000.0-25000.0,True,małopolskie,Kraków,Kapelanka 42a,False,False,2025-02-27 12:00:46.213000+00:00
Jit Team,Site Reliability Engineer,6,mid,"CI/CD, Java, Kubernetes, Microsoft SQL, OpenShift, Spring Boot",,full_time,hybrid,B2B,13000.0-22000.0,False,pomorskie,Gdynia,Łużycka,False,False,2025-02-27 11:58:46.857000+00:00
Jit Team,Scrum Master,15,senior,"Agile, Jira, Scrum, Scrum Master",,full_time,hybrid,B2B,12000.0-16000.0,False,pomorskie,Gdańsk,.,False,False,2025-02-27 11:58:05.380000+00:00
Winged IT,IT Project/Service Manager (Part Time),15,mid,"Agile, English, Jira, ServiceNow",,part_time,remote,B2B,14880.0-14880.0,False,mazowieckie,Warszawa,Centrum,True,True,2025-02-27 11:56:25.414000+00:00
Madiff Sp. z o.o.,Senior IT Recruiter,24,senior,Linkedin,,full_time,office,B2B,8000.0-14000.0,False,mazowieckie,Warszawa,Prosta 20,False,False,2025-02-27 11:45:35.028000+00:00
Pretius,Java Developer,6,mid,"AWS, Angular, Bazy Danych, Java, REST, SOAP, SQL, Spring",,full_time,remote,B2B,18480.0-23520.0,False,mazowieckie,Warszawa,Żwirki i Wigury 16A,False,True,2025-02-27 11:39:58.575000+00:00
CStore,PHP / Laravel Developer (Full Remote),3,mid,"CSS, Git, HTML, JavaScript, Laravel, OOP, PHP",,full_time,remote,B2B,10000.0-15000.0,False,pomorskie,Gdynia,Aleja Zwycięstwa 96/98,False,True,2025-02-27 11:35:08.969000+00:00
Adtran Networks sp. z o.o.,"Software Enginner (QA, Full-Stack)",11,mid,"Angular, Bash, JavaScript, Jest, Python, QA, React, Robot Framework, TypeScript, pytest",,full_time,hybrid,Permanent,13000.0-15000.0,True,pomorskie,Gdynia,Łużycka 8c,False,True,2025-02-27 11:30:50.320000+00:00
Connectis,Programista Android Developer,10,mid,"Android, Android Architecture Components, Coroutines, Dagger, Java, Kotlin, RxJava",,full_time,hybrid,B2B,21000.0-26000.0,False,mazowieckie,Warszawa,Metro Wilanowska,False,True,2025-02-27 11:28:18.355000+00:00
SdNcenter sp. z o.o.,Senior Test Automation Engineer,11,senior,"Azure DevOps, C#, English, Playwright, Postman, Programming, SQA, Selenium",,full_time,remote,B2B,11000.0-20000.0,False,mazowieckie,Warszawa,Franciszka Klimczaka 1,False,True,2025-02-27 11:27:55.738000+00:00
Link Group,.NET Developer with German,7,mid,".Net, Angular, C#, JavaScript, MS SQL, Node.js, Python, React",,full_time,remote,B2B,16800.0-21840.0,False,mazowieckie,Warszawa,,False,True,2025-02-27 11:27:54.044000+00:00
Link Group,Frontend Developer with German,1,senior,"Angular, Git, JavaScript, RESTful API, UX/UI",,full_time,remote,B2B,20160.0-23520.0,False,mazowieckie,Warszawa,,False,True,2025-02-27 11:24:52.414000+00:00
Madiff Sp. z o.o.,IT Recruiter,24,mid,"Elasticsearch, Linkedin, Sales",,full_time,office,B2B,5000.0-10000.0,False,mazowieckie,Warszawa,Prosta 20,False,False,2025-02-27 11:23:20.565000+00:00
Link Group,Analityk Biznesowy z językiem niemieckim,17,mid,"Analityczne Myślenie, Analiza Biznesowa, J. Niemiecki",,full_time,remote,B2B,20160.0-23520.0,False,mazowieckie,Warszawa,,False,True,2025-02-27 11:23:05.541000+00:00
Harvey Nash Technology,Intern Data Analyst - pharmaceuticals,19,junior,"MS Excel, SQL",,internship,hybrid,B2B,5000.0-6000.0,False,mazowieckie,Warszawa,Mokotow,False,True,2025-02-27 11:20:28.252000+00:00
AUTENTI Sp. z o.o.,Java Developer,6,mid,"Apache Kafka, DDD, Gradle, Java 17 - 21, Microservices, MongoDB, PostgreSQL, REST, Spring Boot, Spring WebFlux",,full_time,hybrid,B2B,15000.0-22000.0,False,małopolskie,Kraków,Leona Henryka Sternbacha 1,False,True,2025-02-27 11:07:29.531000+00:00
Oakfusion,Regular Java Developer,6,mid,"Apex, English, Java, Salesforce, Testing",,full_time,remote,B2B,13400.0-16500.0,False,dolnośląskie,Wrocław,Marszałka Józefa Piłsudskiego 43,False,False,2025-02-27 11:04:31.614000+00:00
Link Group,Python Developer,5,senior,"AWS, Django, Flask, Git, Python, SQL",,full_time,remote,B2B,17000.0-22000.0,False,mazowieckie,Warszawa,,False,True,2025-02-27 11:03:50.021000+00:00
Oakfusion,WordPress Developer,3,mid,"Elementor, HTML5, JavaScript, PHP, REST API, SCSS, WordPress",,freelance,office,B2B,7000.0-8500.0,False,dolnośląskie,Wrocław,Marszałka Józefa Piłsudskiego 43,False,True,2025-02-27 11:02:08.359000+00:00
Oakfusion,Mid/Senior Java Developer,6,senior,"Cloud, ERP, English, Hibernate, Java, NoSQL, REST, Spring Boot",,full_time,remote,B2B,16000.0-20000.0,False,dolnośląskie,Wrocław,Marszałka Józefa Piłsudskiego 43,False,False,2025-02-27 11:02:08.359000+00:00
S&P Global,Senior Product Designer,14,senior,"English, Figma, Interactive design, Product Designer",,full_time,hybrid,Permanent,20000.0-25000.0,True,pomorskie,Gdańsk,Marynarki Polskiej 163,False,False,2025-02-27 11:02:08.359000+00:00
SmartRecruiters Inc.,Technical Managed Services Consultant with French,21,mid,"API, Boomi, ETL, Embedded, HTTP, Jitterbit, MuleSoft, SAP, Web Services, Workato",,full_time,remote,Permanent,15500.0-20800.0,True,mazowieckie,Warszawa,,False,False,2025-02-27 11:02:08.359000+00:00
SmartRecruiters Inc.,Technical Managed Services Consultant with French,24,mid,"API, Boomi, ETL, Embedded, HTTP, Jitterbit, MuleSoft, SAP, Web Services, Workato",,full_time,remote,Permanent,15500.0-20800.0,True,mazowieckie,Warszawa,,False,False,2025-02-27 11:02:08.359000+00:00
MindPal,Mobile developer (Swift),10,mid,"Android, CoreData, Git, Google Cloud, RESTful API, RxSwift, Swift, SwiftUI, UIKit, XCode",,freelance,hybrid,B2B,8000.0-14000.0,False,śląskie,Gliwice,Rynek 6,False,True,2025-02-27 11:02:08.359000+00:00
Jit Team,Technical Project Manager,15,senior,"Agile, Cloud, Confluence, Databases, Jira, Office 365, Snowflake",,full_time,hybrid,B2B,17000.0-21000.0,False,pomorskie,Gdynia,.,False,False,2025-02-27 11:02:08.359000+00:00
Spyrosoft,Senior Project Manager (delivery and sales) – Wrocław,15,senior,"Project Management, Sales, robotics",,full_time,hybrid,B2B,20160.0-26880.0,False,dolnośląskie,Wrocław,plac Nowy Targ 28,False,True,2025-02-27 11:02:08.359000+00:00
Solwit SA,MID Devops Engineer,12,mid,"Docker, GitHub Action, Groovy, Jenkins, Kubernetes, Linux, Python",,full_time,remote,B2B,12000.0-18000.0,False,pomorskie,Gdańsk,Azymutalna 11,False,True,2025-02-27 11:02:08.359000+00:00
DEVTALENTS Sp. z o.o.,Senior Python Engineer with Microsoft,5,senior,"Active Directory, Azure, JavaScript, Python, Terraform",,full_time,hybrid,B2B,25000.0-32000.0,False,mazowieckie,Warszawa,Mazowiecka 11,False,True,2025-02-27 11:02:08.359000+00:00
Aspire Systems Poland,Software Developer,7,mid,".NET Core, C#, JavaScript, Web API",,full_time,remote,B2B,11000.0-16000.0,False,pomorskie,Gdańsk,aleja Grunwaldzka 472c,False,True,2025-02-27 11:02:08.359000+00:00
Xebia sp. z o.o.,👉 Business System Analyst,24,senior,English,,full_time,remote,B2B,15000.0-23000.0,False,dolnośląskie,Wrocław,Sucha 3,False,True,2025-02-27 11:02:08.359000+00:00
WSCHODNI FRONT SP. Z O.O.,Programista Full-Stack,1,mid,"CMS Wordpress, DevOps, Docker, FTP, JavaScript, Laravel, PHP, React",,full_time,hybrid,B2B,12000.0-16000.0,False,podlaskie,Białystok,Handlowa 5,False,True,2025-02-27 11:02:08.359000+00:00
Grid Dynamics Poland,Senior Big Data Engineer (Long term US Business Travel),8,senior,"Apache Spark, Java, Scala",,full_time,hybrid,B2B,22000.0-30000.0,False,małopolskie,Kraków,al. 3 Maja 7,True,True,2025-02-27 11:02:08.359000+00:00
DCV Technologies,Senior Power BI Developer,17,senior,"ETL processes, Power BI",,full_time,hybrid,B2B,22000.0-25000.0,False,małopolskie,Kraków,City,False,False,2025-02-27 11:02:08.359000+00:00
SCALO,Frontend Developer (React),1,mid,"Docker, Kubernetes, NPM, React, ReactJS, Webpack",,full_time,remote,B2B,20800.0-24000.0,False,mazowieckie,Warszawa,Al. Jerozolimskie 100,False,False,2025-02-27 11:02:08.359000+00:00
Link Group,Cloud Oracle Fusion ERP – Solution Architect / Implementation Lead,22,senior,"Accounting, French, German, Oracle EBS Finance, Oracle ERP, Oracle ERP Fusion Finance, finance",,full_time,remote,B2B,21840.0-26880.0,False,małopolskie,Kraków,,False,True,2025-02-27 11:02:08.359000+00:00
Link Group,Cloud Oracle Fusion ERP – Solution Architect / Implementation Lead,13,senior,"Accounting, French, German, Oracle EBS Finance, Oracle ERP, Oracle ERP Fusion Finance, finance",,full_time,remote,B2B,21840.0-26880.0,False,małopolskie,Kraków,,False,True,2025-02-27 11:02:08.359000+00:00
ITDS,Senior React AWS Developer,1,senior,"AWS, JavaScript, React, TypeScript",,full_time,hybrid,B2B,23100.0-28350.0,False,mazowieckie,Warszawa,Złota 59,False,True,2025-02-27 11:02:08.359000+00:00
Team Connect,Loss Prevention Analyst,19,mid,"English, MS Office, SQL",,full_time,remote,B2B,11700.0-15100.0,False,mazowieckie,Warszawa,.,True,True,2025-02-27 11:02:08.359000+00:00
makeitright,SAP Data Architect,22,c_level,"BW/4Hana, English, SAP, SAP CFIN, SAP HANA, cFIN",,full_time,remote,B2B,35000.0-38000.0,False,mazowieckie,Warszawa,Postępu,False,False,2025-02-27 11:02:08.359000+00:00
makeitright,Analityk SAP,17,mid,SAP Success Factors,,full_time,remote,B2B,20000.0-23520.0,False,mazowieckie,Warszawa,Postępu,False,False,2025-02-27 11:02:08.359000+00:00
Pretius,AWS Specialist with AI,25,mid,"AI/ML, AWS, Bedrock, Cloud, English, OpenSearch, Textract",,full_time,remote,B2B,21840.0-25200.0,False,mazowieckie,Warszawa,Żwirki i Wigury 16A,False,True,2025-02-27 11:02:08.359000+00:00
Aspire Systems Poland,Senior .Net Developer,7,senior,"ASP.NET Core, Angular 2+, C#, TypeScript",,full_time,remote,B2B,16000.0-19500.0,False,pomorskie,Gdańsk,aleja Grunwaldzka 472c,False,True,2025-02-27 11:02:08.359000+00:00
Link Group,Data Product Portfolio Lead,15,c_level,"AI/ML, Agile, Data, Data Management, Data Mesh, Data architecture, Project Management, data analytics, data governance, financial processes",,full_time,remote,B2B,26880.0-31920.0,False,małopolskie,Kraków,,False,True,2025-02-27 11:02:08.359000+00:00
Link Group,Data Product Portfolio Lead,19,c_level,"AI/ML, Agile, Data, Data Management, Data Mesh, Data architecture, Project Management, data analytics, data governance, financial processes",,full_time,remote,B2B,26880.0-31920.0,False,małopolskie,Kraków,,False,True,2025-02-27 11:02:08.359000+00:00
Xebia sp. z o.o.,👉 Senior React Native Developer,1,senior,"React, React Native, TypeScript",,full_time,remote,B2B,19500.0-27600.0,False,dolnośląskie,Wrocław,Sucha 3,False,True,2025-02-27 11:02:08.359000+00:00
Link Group,Data Product Portfolio Manager,15,senior,"Agile, Data Management, Data Science, Data architecture, Databases, Project Management, data analytics, data governance, financial processes",,full_time,remote,B2B,25200.0-26880.0,False,małopolskie,Kraków,,False,True,2025-02-27 11:02:08.359000+00:00
Link Group,Data Product Portfolio Manager,19,senior,"Agile, Data Management, Data Science, Data architecture, Databases, Project Management, data analytics, data governance, financial processes",,full_time,remote,B2B,25200.0-26880.0,False,małopolskie,Kraków,,False,True,2025-02-27 11:02:08.359000+00:00
Link Group,Procurement Specialist with German,6,mid,"ERP, English, Exflow, German, IDE, Microsoft D365, SK Global",,full_time,remote,B2B,25200.0-28560.0,False,małopolskie,Kraków,,False,True,2025-02-27 11:02:08.359000+00:00
Pragmatic Coders,Senior Mobile Developer (Kotlin Multiplatform Mobile),10,senior,"Android, English, Kotlin, Polish, SwiftUI, iOS",,full_time,hybrid,B2B,21000.0-26250.0,False,małopolskie,Kraków,Opolska 100,False,False,2025-02-27 11:02:08.359000+00:00
Gamefound Sp. z o.o.,QA Specialist,11,mid,"Analytical Thinking, English, Test documentation, Web Application Testing",,full_time,hybrid,B2B,7000.0-11000.0,False,dolnośląskie,Wrocław,Grabarska 2,False,True,2025-02-27 11:02:08.359000+00:00
ITDS,IT Business Analyst,17,mid,"Confluence, Jira, Postman, SQL",,full_time,hybrid,B2B,13760.0-15860.0,False,mazowieckie,Warszawa,Złota 59,True,True,2025-02-27 11:02:08.359000+00:00
ITDS,MS Dynamics Architect,7,senior,".Net, Azure SQL, C#, CRM API, REST/ODATA, SOAP endpoints, JavaScript, Microsoft Dynamics and Dynamics 365, PowerBi, SQL Server, SSIS or ETL technologies, Visual Studio",,full_time,remote,B2B,30000.0-35000.0,False,mazowieckie,Warszawa,Złota 59,False,False,2025-02-27 11:02:08.359000+00:00
ITDS,Product Control Business Analyst,17,senior,"Agile, Confluence, Jira, Microsoft Office, Scrum",,full_time,hybrid,B2B,20000.0-25000.0,False,małopolskie,Kraków,Centrum,True,True,2025-02-27 11:02:08.359000+00:00
Syberry,Backend Software Engineer (Kotlin/Python),5,mid,"Amazon AWS, Kotlin, Python",,full_time,remote,Any,6000.0-18000.0,True,małopolskie,Kraków,Krakusa 11,True,True,2025-02-27 11:02:08.359000+00:00
Black Label,Javascript Developer,1,mid,"Angular, CSS3, Flutter, HTML5, JS ES6, Node.js, React, React Native, TypeScript, Vue",,full_time,hybrid,B2B,13500.0-16000.0,False,małopolskie,Kraków,Aleja Pokoju 1,False,False,2025-02-27 11:02:08.359000+00:00
Travelplanet.pl SA,Staff Software Engineer - Architect,23,senior,"Architecture, Cloud, Communication, Event-Driven Architecture, Team Player",,full_time,hybrid,B2B,30000.0-40000.0,False,dolnośląskie,Wrocław,Legnicka 48g,False,False,2025-02-27 11:02:08.359000+00:00
Travelplanet.pl SA,Senior PHP Developer,3,senior,"CSS3, HTML5, JavaScript, Laravel, MongoDB, MySQL, PHP, PostgreSQL, Symfony",,full_time,hybrid,B2B,17000.0-22000.0,False,dolnośląskie,Wrocław,Legnicka 48g,True,False,2025-02-27 11:02:08.359000+00:00
Cornerstone OnDemand,.Net Senior Software Engineer,7,senior,".Net, C#, CSS, HTML, React, TypeScript",,full_time,remote,Permanent,11000.0-17500.0,True,małopolskie,Kraków,Pawia 23,False,True,2025-02-27 11:02:08.359000+00:00
Monogo Sp. z o.o.,Automation QA Specialist,11,mid,"Automated Testing, Test Automation, Testing",,full_time,remote,B2B,8500.0-12500.0,False,mazowieckie,Warszawa,,False,False,2025-02-27 11:02:08.359000+00:00
Cloudflight,Shopify Developer,2,mid,"CSS, Figma, JavaScript, MySQL, REST API, SASS, Shopify, TypeScript",,full_time,remote,B2B,10080.0-14280.0,False,dolnośląskie,Wrocław,Legnicka 16,False,True,2025-02-27 11:02:08.359000+00:00
Antal Sp. z o.o.,Seeburger Specialist,6,mid,Java,,full_time,hybrid,B2B,150.0-220.0,False,małopolskie,Kraków,Centrum,False,False,2025-02-27 11:02:08.359000+00:00
DCG,JIRA/ Atlassian Developer,24,junior,"Atlassian, Jira",,full_time,hybrid,B2B,16800.0-17640.0,False,mazowieckie,Warszawa,Towarowa 28,False,True,2025-02-27 11:02:08.359000+00:00
Travelplanet.pl SA,Staff Software Engineer Go,20,senior,"Backend, Communication, Golang, Mentoring, Tranining",,full_time,hybrid,B2B,30000.0-40000.0,False,dolnośląskie,Wrocław,Legnicka 48g,False,False,2025-02-27 11:02:08.359000+00:00
creativestyle,Senior Symfony Developer,3,senior,"Docker, Elasticsearch, MySQL, PHP, Symfony, Unit Testing",,full_time,remote,B2B,15200.0-20000.0,False,małopolskie,Kraków,Zabłocie 25/1,False,False,2025-02-27 11:02:08.359000+00:00
Travelplanet.pl SA,Engineering Manager,3,mid,"Golang, Java, JavaScript, PHP, Scala",,full_time,hybrid,B2B,24000.0-30000.0,False,dolnośląskie,Wrocław,Legnicka 48g,False,False,2025-02-27 11:02:08.359000+00:00
S&P Global,Senior/Principal  Software Engineer - Carfax Europe,6,senior,"Agile, Java, Python",,full_time,hybrid,Permanent,19000.0-27000.0,True,pomorskie,Gdańsk,Marynarki Polskiej 163,False,False,2025-02-27 11:02:08.359000+00:00
Centra,DevOps Engineer,12,senior,"AWS, Kubernetes, Linux, Shell Scripting",,full_time,hybrid,B2B,18000.0-28000.0,False,dolnośląskie,Wrocław,plac Jana Pawła II 14,True,True,2025-02-27 11:02:08.359000+00:00
Kryptonim,Mid/Senior Golang Developer,20,mid,"Golang, HTTP, REST",,full_time,hybrid,B2B,17000.0-20000.0,False,mazowieckie,Warszawa,Plac Europejski 1,False,True,2025-02-27 11:02:08.359000+00:00
Sparta Loyalty,Technical Project Manager,15,mid,"Analityczne Myślenie, Analiza Biznesowa, Communication Skills, English, Project Management",,full_time,hybrid,B2B,8500.0-12000.0,False,małopolskie,Kraków,Wadowicka 6,True,False,2025-02-27 10:30:54.526000+00:00
ER Group,Software Developer,7,mid,".Net, Angular, C#, C++, SQL",,full_time,remote,B2B,18000.0-20000.0,False,małopolskie,Kraków,Centrum,False,True,2025-02-27 10:22:31.214000+00:00
Sopra Steria,Java Developer (Mid/Senior),6,mid,"Java, Python, Vue.js",,full_time,hybrid,B2B,16000.0-22400.0,False,śląskie,Katowice,Uniwersytecka 13,False,True,2025-02-27 10:04:30.665000+00:00
SmartRecruiters Inc.,Technical Managed Services Consultant with French,13,mid,"API, Boomi, ETL, Embedded, HTTP, Jitterbit, MuleSoft, SAP, Web Services, Workato",,full_time,remote,Permanent,15500.0-20800.0,True,mazowieckie,Warszawa,,False,False,2025-02-27 10:01:48.716000+00:00
Digital Gateways,iOS Developer,10,junior,"CocoaPods, Flutter, Git, Objective-C, RESTful API, Swift, SwiftUI, XCode",,full_time,remote,B2B,10000.0-14000.0,False,mazowieckie,Warszawa,rondo Ignacego Daszyńskiego 1,False,True,2025-02-27 10:01:48.716000+00:00
SmartRecruiters Inc.,Technical Managed Services Consultant with French,22,mid,"API, Boomi, ETL, Embedded, HTTP, Jitterbit, MuleSoft, SAP, Web Services, Workato",,full_time,remote,Permanent,15500.0-20800.0,True,mazowieckie,Warszawa,,False,False,2025-02-27 10:01:48.716000+00:00
ITDS,Client Onboarding Specialist,24,junior,"Confluence, MadCap Flare",,full_time,office,B2B,5670.0-8400.0,False,warmińsko-mazurskie,Olsztyn,Olsztyn,False,True,2025-02-27 10:01:48.716000+00:00
Meble Wójcik,Specjalista ds. bezpieczeństwa IT,18,mid,"CISM, CISSP, Cybersecurity, Firewall, IDS/IPS, ISO 20000, ISO 27001, NIST, SIEM, XDR",,full_time,hybrid,Permanent,10000.0-13000.0,True,warmińsko-mazurskie,Elbląg,Mazurska 45,True,False,2025-02-27 10:01:48.716000+00:00
Experis Manpower Group,Cloud Oracle Fusion ERP – Senior Consultant,19,senior,"Oracle EBS Finance, Oracle Fusion Cloud ERP, client-facing delivery roles",,full_time,remote,B2B,24000.0-27200.0,False,dolnośląskie,Wrocław,.,False,True,2025-02-27 10:01:48.716000+00:00
Experis Manpower Group,Cloud Oracle Fusion ERP Solution Architect – Lead,23,senior,"Leadership full-cycle implementations, Oracle EBS Finance, Oracle ERP Fusion Finance",,full_time,remote,B2B,27200.0-30400.0,False,dolnośląskie,Wrocław,.,False,True,2025-02-27 10:01:48.716000+00:00
Experis Manpower Group,Senior Architect (MS Dynamics 365),12,senior,"Azure, CI/CD, IT experience, MS Dynamics 365, Power Automate",,full_time,remote,B2B,33600.0-36960.0,False,mazowieckie,Warszawa,Centrum,False,True,2025-02-27 10:01:48.716000+00:00
Experis Manpower Group,Learning System UX/Accessibility QA Specialist,14,mid,"ARIA, Axe, Content Management Systems, JAWS, Learning Management Systems, Sketch/Figma/Adobe XD, UX, WAVE, WCAG, browserstack",,full_time,remote,B2B,21240.0-25200.0,False,małopolskie,Kraków,Kraków,False,True,2025-02-27 10:01:48.716000+00:00
Experis Manpower Group,Senior Project Manager (SAP S/4 HANA),22,senior,"S/4 HANA, SAP Implementation Management, SAP Project Management",,full_time,remote,B2B,26880.0-30240.0,False,mazowieckie,Warszawa,Prosta 68,False,True,2025-02-27 10:01:48.716000+00:00
Experis Manpower Group,Kubernetes Engineer,12,senior,"Ansible, English, Kubernetes, Network skills, Terraform",,full_time,remote,B2B,27720.0-31080.0,False,łódzkie,Łódź,Łódź,False,True,2025-02-27 10:01:48.716000+00:00
Experis Manpower Group,Technical Account Manager (Informix and/or DB2),13,senior,"DB2, Informix, Polish",,full_time,hybrid,B2B,30240.0-36960.0,False,mazowieckie,Warszawa,Prosta 68,False,True,2025-02-27 10:01:48.716000+00:00
Experis Manpower Group,ServiceNow Developer,13,mid,"LDAP, SQL, ServiceNow",,full_time,remote,B2B,28560.0-31920.0,False,mazowieckie,Warszawa,Warszawa,False,False,2025-02-27 10:01:48.716000+00:00
Experis Manpower Group,Kubernetes Engineer,13,senior,"Ansible, English, Kubernetes, Network skills, Terraform",,full_time,remote,B2B,27720.0-31080.0,False,łódzkie,Łódź,Łódź,False,True,2025-02-27 10:01:48.716000+00:00
Beesafe,Full Stack Developer (AI & GenAI Solutions),1,mid,"Express.js, JavaScript, React, Scrum, TypeScript",,full_time,hybrid,B2B,12000.0-20000.0,False,mazowieckie,Warszawa,Al. Jerozolimskie 162,False,True,2025-02-27 10:01:48.716000+00:00
